,0,1,2,3
Backfill,-2.090507394747921,1.994944067336815,32841.0,0.8831419944763184
Overall Mean,-0.37568978683488463,1.5203507481684766,0.0,1.1481962203979492
Yearly Mean,0.0038829587694897416,1.4431176939431996,52298.0,0.9752039568764823
Yearly Mean per Region,-0.037073415594417555,1.4594715012883406,58352.71428571428,1.096289805003575
Interpolate 3,-0.8214485384791479,1.713416932758087,32871.42857142857,0.9546365056719098
Interpolate all,-0.8213362393515243,1.6858723831333422,58.0,0.9324006353105817
ICE 1,0.9587885660535191,0.17313265431957742,0.0,9.967214141573224
ICE 2,0.9369422183952326,0.3548601662869602,0.0,24.333753177097865
ICE 3,0.7446043754745898,0.731466215378177,0.0,85.88805849211556
MICE,0.9611059986155303,0.1905520692754509,0.0,139.6849879196712
KNN 1,0.3019811568172643,1.1831495757090846,0.0,106.58597019740513
KNN 2,0.31795488152653434,1.1824227258795905,0.0,18.842516933168685
