,,r2,rmse,still_missing,t
Backfill,0,-0.7622360204251646,1.9101575370444133,33252.0,1.104684829711914
Backfill,1,-0.13326755926364164,1.5732663625326984,33280.0,1.1138923168182373
Backfill,2,-0.15471382925960686,2.34729184379117,33292.0,1.1242446899414062
Backfill,3,-0.38762500614250417,2.1233606768359277,33312.0,1.1117191314697266
Backfill,4,-0.12638032635757868,1.8674634798834449,33191.0,1.1321732997894287
Overall Mean,0,-0.12238662573392034,1.5010550835974847,0.0,1.3532512187957764
Overall Mean,1,-0.08891407564982123,1.5156937528407737,0.0,1.3634698390960693
Overall Mean,2,0.03275499935140125,2.111408995638594,0.0,1.354508876800537
Overall Mean,3,-0.007756779127367608,1.7781034777971605,0.0,1.3789207935333252
Overall Mean,4,-0.07515189456415738,1.7956415221980515,0.0,1.3522274494171143
Yearly Mean,0,0.01822061654671281,1.4038876131419915,52298.0,1.205418586730957
Yearly Mean,1,0.02412569603259529,1.4348668300371035,52298.0,1.1968224048614502
Yearly Mean,2,0.0032684411398227198,2.143350641743403,52298.0,1.196840763092041
Yearly Mean,3,0.018273620856915973,1.7549889954672926,52298.0,1.2047486305236816
Yearly Mean,4,0.009930862430755916,1.7231277977735868,52298.0,1.198387622833252
Yearly Mean per Region,0,0.0930295681923391,1.3636071622438513,58419.0,1.3049917221069336
Yearly Mean per Region,1,0.05506129380663782,1.4263474962361342,58433.0,1.3108940124511719
Yearly Mean per Region,2,0.008738176401015929,2.157995496739785,58406.0,1.302746057510376
Yearly Mean per Region,3,0.06464904282280226,1.7296965042956853,58428.0,1.3085198402404785
Yearly Mean per Region,4,0.023534505934872052,1.7284428180443978,58439.0,1.3210663795471191
Interpolate 3,0,-0.2512631805262626,1.6128341164139306,33283.0,1.1802787780761719
Interpolate 3,1,-0.24677034897772154,1.6479520157944438,33312.0,1.1942322254180908
Interpolate 3,2,-0.17772623469113125,2.369174963915534,33323.0,1.2082576751708984
Interpolate 3,3,-0.24771461347653334,2.0119622071657712,33344.0,1.252429485321045
Interpolate 3,4,-0.17496123606335034,1.9075320979905712,33222.0,1.1813218593597412
Interpolate all,0,-0.25125059862087307,1.584884205135731,58.0,1.1952006816864014
Interpolate all,1,-0.24673435187151704,1.6219430037336127,65.0,1.1578738689422607
Interpolate all,2,-0.18551291468006958,2.337530387879338,58.0,1.1627883911132812
Interpolate all,3,-0.24768844884652652,1.9785600571412214,59.0,1.16237211227417
Interpolate all,4,-0.1749476561541503,1.8771284275311377,58.0,1.1658008098602295
ICE 1,0,0.9803957096839419,0.19838139998923512,0.0,9.555473566055298
ICE 1,1,0.9755494244776735,0.22712199683626336,0.0,9.513757944107056
ICE 1,2,0.9937200129848803,0.17013101521988602,0.0,9.543735980987549
ICE 1,3,0.9831619635029917,0.229839617647022,0.0,9.572115659713745
ICE 1,4,0.9973721005760114,0.08877467621858194,0.0,9.56584882736206
ICE 2,0,0.9838505622042556,0.18005454652769592,0.0,23.370723247528076
ICE 2,1,0.9878728227407547,0.15995378362387666,0.0,23.471527099609375
ICE 2,2,0.8221999876264665,0.905253086250653,0.0,23.305643320083618
ICE 2,3,0.9391753592620334,0.4368365247925406,0.0,23.0691020488739
ICE 2,4,0.992714126005562,0.14781739867029778,0.0,23.236597299575806
ICE3,0,0.8623209307706443,0.5257258705130095,0.0,82.11966681480408
ICE3,1,0.9248967198209728,0.39805593856601507,0.0,82.02079224586487
ICE3,2,0.411709223258674,1.646645609287345,0.0,81.23988032341003
ICE3,3,0.8924299870525689,0.5809313016449393,0.0,80.14908242225647
ICE3,4,0.834380973318203,0.7047577188321924,0.0,79.6113588809967
MICE,0,0.9870111288262199,0.16147715637428842,0.0,130.23239374160767
MICE,1,0.9812143313570606,0.19908016113181415,0.0,130.69022750854492
MICE,2,0.9948019183754953,0.15478385829857483,0.0,130.73895573616028
MICE,3,0.9852405302814632,0.21518626344644476,0.0,130.7264232635498
MICE,4,0.9956741793741464,0.11389875598079198,0.0,130.4066572189331
KNN 1,0,0.05221329965210875,1.3793697364033262,0.0,101.75799751281738
KNN 1,1,0.13343486750438305,1.3521200725970917,0.0,101.37935280799866
KNN 1,2,0.5137829459504134,1.4969910867369418,0.0,101.32312607765198
KNN 1,3,0.270549443504007,1.512784608466947,0.0,101.13517713546753
KNN 1,4,0.039331192239751345,1.69735065376505,0.0,101.15619611740112
KNN 2,0,-1.602264991548012,2.2856048436310656,0.0,18.07546329498291
KNN 2,1,0.3021798150724092,1.2133509054211025,0.0,18.147948026657104
KNN 2,2,0.46955096762140014,1.5636010429853207,0.0,17.99539875984192
KNN 2,3,0.3733797406161049,1.4021077287819956,0.0,18.067557334899902
KNN 2,4,0.12532994575125067,1.619596599110858,0.0,17.95168900489807
