,Indicator Name,Indicator Code,Topic description
0,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Environment: energy
1,Access to electricity (% of population),EG.ELC.ACCS.ZS,Environment: energy
2,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Environment: energy
3,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,Environment: energy
4,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,
5,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,
6,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,
7,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,
8,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,
9,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,
10,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,
11,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,
12,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,
13,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Social: education
14,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Social: education
15,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Social: education
16,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,National accounts: income
17,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,National accounts: income
18,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,National accounts: income
19,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,National accounts: income
20,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,National accounts: income
21,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,National accounts: income
22,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,National accounts: income
23,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,National accounts: income
24,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,National accounts: income
25,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,National accounts: income
26,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,National accounts: income
27,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,National accounts: income
28,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,National accounts: income
29,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,National accounts: income
30,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,National accounts: income
31,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,National accounts: income
32,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,National accounts: income
33,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,National accounts: income
34,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,National accounts: income
35,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,National accounts: income
36,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,National accounts: income
37,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,National accounts: income
38,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,National accounts: income
39,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,National accounts: income
40,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,National accounts: income
41,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,National accounts: income
42,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,National accounts: income
43,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,National accounts: income
44,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Social: population
45,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Social: education
46,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Social: education
47,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Social: education
48,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Social: health
49,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Social: health
50,Age dependency ratio (% of working-age population),SP.POP.DPND,Social: population
51,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,Social: population
52,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,Social: population
53,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Agriculture
54,Agricultural land (% of land area),AG.LND.AGRI.ZS,Agriculture
55,Agricultural land (sq. km),AG.LND.AGRI.K2,Agriculture
56,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Agriculture
57,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,Agriculture
58,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,Environment: general
59,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Environment: general
60,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,Environment: general
61,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,Environment: general
62,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Trade: exports
63,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Trade: imports
64,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,National accounts: value added
65,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,National accounts: value added
66,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,National accounts: value added
67,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,National accounts: value added
68,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,National accounts: value added
69,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,National accounts: value added
70,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,National accounts: value added
71,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Infrastructure: transportation
72,"Air transport, passengers carried",IS.AIR.PSGR,Infrastructure: transportation
73,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Infrastructure: transportation
74,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,Environment: energy
75,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Environment: resources
76,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Environment: resources
77,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,Environment: resources
78,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Environment: resources
79,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,Environment: resources
80,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,Social: income
81,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,Social: income
82,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Social: health
83,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,Social: health
84,Aquaculture production (metric tons),ER.FSH.AQUA.MT,Environment: resources
85,Arable land (% of land area),AG.LND.ARBL.ZS,Agriculture
86,Arable land (hectares per person),AG.LND.ARBL.HA.PC,Agriculture
87,Arable land (hectares),AG.LND.ARBL.HA,Agriculture
88,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,Social: health
89,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Military statistics
90,"Armed forces personnel, total",MS.MIL.TOTL.P1,Military statistics
91,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,Military statistics
92,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Military statistics
93,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,Financial: bank (miscellaneous)
94,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Agriculture
95,Average time to clear exports through customs (days),IC.CUS.DURS.EX,Investment climate
96,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Social: income
97,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,Social: income
98,"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,Social: labor
99,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,Social: labor
100,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,Social: labor
101,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,Social: labor
102,"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,Social: labor
103,"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,Social: labor
104,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,Financial: bank (miscellaneous)
105,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Financial: deposit money banks
106,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Financial: bank (miscellaneous)
107,Battle-related deaths (number of people),VC.BTL.DETH,Violence and conflict
108,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,Trade: imports
109,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,Trade: imports
110,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,Trade: imports
111,"Bird species, threatened",EN.BIR.THRD.NO,Environment: general
112,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Social: population
113,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Social: health
114,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,Financial: bank (miscellaneous)
115,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,Trade: imports
116,"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,Trade: imports
117,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,Trade: imports
118,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,Investment climate
119,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Financial: monetary survey
120,Broad money (current LCU),FM.LBL.BMNY.CN,Financial: monetary survey
121,Broad money growth (annual %),FM.LBL.BMNY.ZG,Financial: monetary survey
122,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Financial: monetary survey
123,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,Investment climate
124,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,Environment: resources
125,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Social: health
126,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Social: health
127,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,Social: health
128,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Government finance: IMF
129,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Government finance: IMF
130,Cereal production (metric tons),AG.PRD.CREL.MT,Agriculture
131,Cereal yield (kg per hectare),AG.YLD.CREL.KG,Agriculture
132,Changes in inventories (constant LCU),NE.GDI.STKB.KN,National accounts: expenditure
133,Changes in inventories (current LCU),NE.GDI.STKB.CN,National accounts: expenditure
134,Changes in inventories (current US$),NE.GDI.STKB.CD,National accounts: expenditure
135,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,"Balance of payments: imports, payments (credit)"
136,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,"Balance of payments: exports, receipts (debit)"
137,Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,National accounts: value added
138,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,Social: labor
139,"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,Social: labor
140,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,Social: labor
